Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,123.33065032958984,85.81999969482422,88.5095443725586,234.42356872558594,14.302286148071289,108.0999984741211,129.07956676089162,86.95999908447266,90.4263244711382,240.46077124140547,14.982682047498178,118.80000305175781,122.44316513126005,84.20999908447266,87.91364821898763,232.29048067163205,14.08348078348017,104.63999938964844,128.4681939201586,85.45999908447266,88.97631857972549,237.84823891620616,14.837810367489242,118.47000122070312
2023-01-04,124.60270690917969,85.13999938964844,87.47667694091797,224.16915893554688,14.735899925231934,113.63999938964844,126.87072372434358,86.9800033569336,90.02907281249857,227.8580076648185,14.839807646660638,114.58999633789062,123.34050912530462,83.36000061035156,86.67222007582812,221.096740762334,14.22835169668265,107.5199966430664,125.1253349737568,86.55000305175781,89.73112470288972,227.28070963200992,14.55406236555899,109.11000061035156
2023-01-05,123.2813491821289,83.12000274658203,85.60954284667969,217.5252685546875,14.252330780029297,110.33999633789062,125.99310505602139,85.41999816894531,86.97016132679408,222.65249456632077,14.55106500758206,111.75,123.02497040718632,83.06999969482422,85.3116023377022,216.98710309720292,14.135434115107048,107.16000366210938,125.36200610905166,85.33000183105469,86.8708478238016,222.31002156690943,14.478129888796087,110.51000213623047
2023-01-06,127.8173828125,86.08000183105469,86.74172973632812,220.0888671875,14.845804214477539,113.05999755859375,128.47806338393755,86.4000015258789,87.0893383476196,220.90100504687248,14.996670137157544,114.38999938964844,123.15316666234692,81.43000030517578,84.2787216281847,214.6289776058487,14.02153707163228,101.80999755859375,124.25759364277924,83.02999877929688,86.19550170469084,218.20041337731763,14.461145896873958,103.0
2023-01-09,128.33998107910156,87.36000061035156,87.41707611083984,222.23175048828125,15.614121437072754,119.7699966430664,131.55465346679887,89.4800033569336,89.43317735489786,226.26308695168126,16.04174083826341,123.5199966430664,128.08360234953716,87.08000183105469,87.25817602105704,221.53703999477176,15.127553464181608,117.11000061035156,128.65553802002677,87.45999908447266,87.75475111447206,221.57617251580095,15.270427071771651,118.95999908447266
2023-01-10,128.9119415283203,89.87000274658203,87.81433868408203,223.92453002929688,15.894871711730957,118.8499984741211,129.4345696464241,90.19000244140625,88.06262623356912,226.33157576127422,15.947824139665439,122.76000213623047,126.33823803970584,87.29000091552734,85.24208330842042,222.43724039296023,15.458259534317742,114.91999816894531,128.44847658636624,87.56999969482422,85.39105735353961,222.85797845401495,15.493228298581526,121.06999969482422
2023-01-11,131.63357543945312,95.08999633789062,90.89309692382812,230.69558715820312,15.986787796020508,123.22000122070312,131.65328646822576,95.26000213623047,90.97255075305516,230.87170589795403,16.01376424221786,125.94999694824219,128.64571450243,90.93000030517578,88.40029554318691,226.1358795554185,15.549177090180791,120.51000213623047,129.4247214433815,90.93000030517578,88.56912924744373,226.31199829516942,15.82593149314411,122.08999633789062
2023-01-12,131.5546875,95.2699966430664,90.50576782226562,233.37660217285156,16.496335983276367,123.55999755859375,132.39285762882386,97.19000244140625,91.24070436753142,234.73668494527053,16.622223531730338,124.12999725341797,129.6120828388038,93.5,89.13522338270101,228.53314279943885,15.478240920942719,117.0,132.01815247276784,96.93000030517578,90.85337642641241,230.1965511287431,16.085701700564304,122.55999755859375
